,labels,C_CODE,C_NAME,C_CATEGORY,C_MARKET
0,1,005930,삼성전자,전기전자,KOSPI
1,5,000660,SK하이닉스,전기전자,KOSPI
2,9,035420,NAVER,서비스업,KOSPI
3,9,207940,삼성바이오로직스,의약품,KOSPI
4,9,035720,카카오,서비스업,KOSPI
5,5,051910,LG화학,화학,KOSPI
6,5,006400,삼성SDI,전기전자,KOSPI
7,1,005380,현대자동차,운수장비,KOSPI
8,9,068270,셀트리온,의약품,KOSPI
9,1,000270,기아,운수장비,KOSPI
10,2,005490,포스코,철강금속,KOSPI
11,1,028260,삼성물산,유통업,KOSPI
12,1,012330,현대모비스,운수장비,KOSPI
13,1,066570,LG전자,전기전자,KOSPI
14,5,096770,SK이노베이션,화학,KOSPI
15,8,105560,KB금융,금융업,KOSPI
16,9,051900,LG생활건강,화학,KOSPI
17,9,017670,SK텔레콤,통신업,KOSPI
18,8,055550,신한지주,금융업,KOSPI
19,5,034730,SK,금융업,KOSPI
20,3,036570,엔씨소프트,서비스업,KOSPI
21,2,011200,HMM,운수창고업,KOSPI
22,3,015760,한국전력공사,전기가스업,KOSPI
23,4,032830,삼성생명,금융업,KOSPI
24,5,003550,LG,금융업,KOSPI
25,1,018260,삼성에스디에스,서비스업,KOSPI
26,1,009150,삼성전기,전기전자,KOSPI
27,8,086790,하나금융지주,금융업,KOSPI
28,0,090430,아모레퍼시픽,화학,KOSPI
29,9,251270,넷마블,서비스업,KOSPI
30,5,003670,포스코케미칼,비금속광물,KOSPI
31,9,033780,케이티앤지,제조업,KOSPI
32,6,034020,두산중공업,기계,KOSPI
33,2,010950,S-Oil,화학,KOSPI
34,0,003490,대한항공,운수창고업,KOSPI
35,2,000810,삼성화재해상보험,금융업,KOSPI
36,9,326030,에스케이바이오팜,서비스업,KOSPI
37,2,010130,고려아연,철강금속,KOSPI
38,9,030200,케이티,통신업,KOSPI
39,7,011170,롯데케미칼,화학,KOSPI
40,1,018880,한온시스템,기계,KOSPI
41,2,009540,한국조선해양,운수장비,KOSPI
42,2,316140,우리금융지주,금융업,KOSPI
43,8,024110,기업은행,금융업,KOSPI
44,2,034220,LG디스플레이,전기전자,KOSPI
