,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
에이루트,2021-08-09,894,-316,920,967,880,90960174,-26.115702479338843,코스닥 IT,KOSDAQ,-8% 이하
디스플레이텍,2021-08-09,7400,1270,6240,7960,6220,48246984,20.717781402936378,코스닥 IT,KOSDAQ,8% 이상
TYM,2021-08-09,2670,60,2620,2695,2525,45647948,2.2988505747126435,기계,KOSPI,2 ~ 4%
럭슬,2021-08-09,22,-24,35,35,22,44655884,-52.17391304347826,제조업,KOSDAQ,-8% 이하
파인텍,2021-08-09,2040,5,2115,2265,2040,41023336,0.2457002457002457,코스닥 IT,KOSDAQ,0 ~ 2%
켐트로스,2021-08-09,9560,1010,8440,10650,8370,34333397,11.812865497076023,제조업,KOSDAQ,8% 이상
아남전자,2021-08-09,3480,50,3490,3630,3390,34138882,1.4577259475218658,전기전자,KOSPI,0 ~ 2%
영우디에스피,2021-08-09,2990,260,2725,3180,2700,32302730,9.523809523809524,코스닥 IT,KOSDAQ,8% 이상
사조동아원,2021-08-09,1620,-15,1715,1760,1610,31430866,-0.9174311926605505,음식료품,KOSPI,0 ~ -2%
팜스토리,2021-08-09,2650,-20,2685,2870,2650,31136122,-0.7490636704119851,제조업,KOSDAQ,0 ~ -2%
신원,2021-08-09,2535,-110,2615,2800,2530,29516787,-4.158790170132325,섬유의복,KOSPI,-4 ~ -6%
이아이디,2021-08-09,506,-14,523,523,504,24692267,-2.6923076923076925,유통업,KOSPI,-2 ~ -4%
HB테크놀러지,2021-08-09,3475,320,3160,3655,3150,21501789,10.142630744849445,제조업,KOSDAQ,8% 이상
LG헬로비전,2021-08-09,8160,370,7940,8930,7920,20871361,4.7496790757381255,서비스업,KOSPI,4 ~ 6%
대한전선,2021-08-09,2615,-125,2700,2705,2600,18776040,-4.562043795620438,전기전자,KOSPI,-4 ~ -6%
삼성전자,2021-08-09,81500,0,81500,82300,80900,15369993,0.0,전기전자,KOSPI,0 ~ -2%
아이엠,2021-08-09,1550,135,1420,1550,1405,14054117,9.540636042402827,코스닥 IT,KOSDAQ,8% 이상
대원제약,2021-08-09,18200,2200,16450,20800,16450,13069699,13.750000000000002,의약품,KOSPI,8% 이상
젬백스링크,2021-08-09,1920,75,1830,1950,1820,12929709,4.0650406504065035,유통,KOSDAQ,4 ~ 6%
쌍방울,2021-08-09,765,-31,796,798,762,12550373,-3.8944723618090453,섬유의복,KOSPI,-2 ~ -4%
후성,2021-08-09,14200,1000,13200,14850,13050,12517397,7.575757575757576,화학,KOSPI,6 ~ 8%
한화플러스제1호스팩,2021-08-09,3945,45,5070,5070,3945,12377170,1.153846153846154,금융,KOSDAQ,0 ~ 2%
대덕전자,2021-08-09,17400,950,16750,18050,16650,12079909,5.775075987841945,전기전자,KOSPI,4 ~ 6%
에스에이엠티,2021-08-09,5890,0,5840,6080,5810,12004570,0.0,유통,KOSDAQ,0 ~ -2%
시스웍,2021-08-09,2460,-10,2520,2540,2405,11554120,-0.4048582995951417,제조업,KOSDAQ,0 ~ -2%
에이디칩스,2021-08-09,1245,5,1275,1330,1225,10649047,0.4032258064516129,제조업,KOSDAQ,0 ~ 2%
SM C&C,2021-08-09,5590,-520,5830,6110,5550,10518008,-8.51063829787234,코스닥 IT,KOSDAQ,-8% 이하
코스모화학,2021-08-09,15350,1850,13650,15950,13500,10438332,13.703703703703704,화학,KOSPI,8% 이상
코데즈컴바인,2021-08-09,2960,75,3270,3280,2915,10218871,2.5996533795493932,제조업,KOSDAQ,2 ~ 4%
WI,2021-08-09,1960,80,1930,2000,1920,9958643,4.25531914893617,제조업,KOSDAQ,4 ~ 6%
이트론,2021-08-09,677,-20,692,695,675,9755388,-2.8694404591104736,코스닥 IT,KOSDAQ,-2 ~ -4%
인베니아,2021-08-09,3000,235,2770,3115,2770,9394698,8.499095840867993,제조업,KOSDAQ,8% 이상
국전약품,2021-08-09,9160,-40,9200,9730,8790,9332086,-0.43478260869565216,제조업,KOSDAQ,0 ~ -2%
